series,p,subjective_prob
a low-income,0.81,0.79
a low-income,0.83,0.8099999999999999
a low-income,0.85,0.8300000000000001
a low-income,0.87,0.86
a low-income,0.89,0.8666666666666667
a low-income,0.91,0.9133333333333332
a low-income,0.93,0.9066666666666666
a low-income,0.95,0.9199999999999999
a low-income,0.97,0.93
a low-income,0.99,0.91
a male,0.01,0.005
a male,0.03,0.005
a male,0.05,0.005
a male,0.07,0.005
a male,0.09,0.005
a male,0.11,0.005
a male,0.13,0.005
a male,0.15,0.005
a male,0.17,0.006666666666666667
a male,0.19,0.005
a male,0.21,0.01
a male,0.23,0.008333333333333333
a male,0.25,0.005
a male,0.27,0.013333333333333334
a male,0.29,0.02
a male,0.31,0.013333333333333334
a male,0.33,0.02
a male,0.35,0.02
a male,0.37,0.03333333333333333
a male,0.39,0.03
a male,0.41,0.049999999999999996
a male,0.43,0.05333333333333334
a male,0.45,0.05666666666666667
a male,0.47,0.06333333333333334
a male,0.49,0.043333333333333335
a male,0.51,0.17
a male,0.53,0.22
a male,0.55,0.30666666666666664
a male,0.57,0.34
a male,0.59,0.3933333333333333
a male,0.61,0.5266666666666667
a male,0.63,0.52
a male,0.65,0.5966666666666667
a male,0.67,0.6033333333333334
a male,0.69,0.6133333333333333
a male,0.71,0.7133333333333334
a male,0.73,0.6966666666666667
a male,0.75,0.7266666666666667
a male,0.77,0.7333333333333334
a male,0.79,0.7799999999999999
a male,0.81,0.7866666666666666
a male,0.83,0.8366666666666666
a male,0.85,0.85
a male,0.87,0.8766666666666666
a male,0.89,0.8966666666666666
a male,0.91,0.9133333333333332
a male,0.93,0.9199999999999999
a male,0.95,0.93
a male,0.97,0.9433333333333334
a male,0.99,0.9166666666666666
